cluster,timestamp,hour,trip_count,total_fare
-1.0,2024-06-02 22:00:00,22,1,34.01
-1.0,2024-06-04 15:00:00,15,1,49.28
-1.0,2024-06-05 21:00:00,21,1,50.06
-1.0,2024-06-09 17:00:00,17,1,51.269999999999996
-1.0,2024-06-10 14:00:00,14,1,94.39
-1.0,2024-06-10 20:00:00,20,1,42.31
-1.0,2024-06-11 15:00:00,15,1,99.07000000000001
-1.0,2024-06-14 15:00:00,15,1,59.56999999999999
-1.0,2024-06-14 17:00:00,17,1,116.13
-1.0,2024-06-15 18:00:00,18,1,89.02000000000001
-1.0,2024-06-16 17:00:00,17,1,23.14
-1.0,2024-06-16 19:00:00,19,1,20.56
-1.0,2024-06-16 20:00:00,20,1,75.22
-1.0,2024-06-17 16:00:00,16,1,20.05
-1.0,2024-06-18 20:00:00,20,1,68.63
-1.0,2024-06-20 08:00:00,8,1,57.099999999999994
-1.0,2024-06-20 20:00:00,20,1,38.66
-1.0,2024-06-23 05:00:00,5,1,15.310000000000002
-1.0,2024-06-23 09:00:00,9,1,26.409999999999997
-1.0,2024-06-24 09:00:00,9,1,25.42
-1.0,2024-06-25 18:00:00,18,1,58.31
-1.0,2024-06-26 17:00:00,17,1,61.760000000000005
-1.0,2024-06-27 12:00:00,12,1,34.68
-1.0,2024-06-29 13:00:00,13,1,26.369999999999997
0.0,2024-06-01 00:00:00,0,64,6610.29
0.0,2024-06-01 01:00:00,1,44,4231.56
0.0,2024-06-01 02:00:00,2,12,872.3900000000001
0.0,2024-06-01 03:00:00,3,1,230.13
0.0,2024-06-01 05:00:00,5,3,199.14
0.0,2024-06-01 06:00:00,6,4,319.62
0.0,2024-06-01 07:00:00,7,9,620.69
0.0,2024-06-01 08:00:00,8,28,2783.6599999999994
0.0,2024-06-01 09:00:00,9,72,7167.139999999999
0.0,2024-06-01 10:00:00,10,98,10165.399999999996
0.0,2024-06-01 11:00:00,11,62,6586.7599999999975
0.0,2024-06-01 12:00:00,12,80,8514.469999999998
0.0,2024-06-01 13:00:00,13,65,7364.859999999998
0.0,2024-06-01 14:00:00,14,117,13401.05
0.0,2024-06-01 15:00:00,15,85,9944.349999999999
0.0,2024-06-01 16:00:00,16,94,10601.39
0.0,2024-06-01 17:00:00,17,69,7287.630000000001
0.0,2024-06-01 18:00:00,18,94,10690.900000000007
0.0,2024-06-01 19:00:00,19,100,10420.959999999992
0.0,2024-06-01 20:00:00,20,66,6565.570000000001
0.0,2024-06-01 21:00:00,21,61,5826.93
0.0,2024-06-01 22:00:00,22,53,4257.069999999999
0.0,2024-06-01 23:00:00,23,73,7134.810000000003
0.0,2024-06-02 00:00:00,0,65,6692.91
0.0,2024-06-02 01:00:00,1,29,2917.84
0.0,2024-06-02 02:00:00,2,1,20.7
0.0,2024-06-02 03:00:00,3,2,192.37
0.0,2024-06-02 04:00:00,4,1,64.86
0.0,2024-06-02 05:00:00,5,1,81.22
0.0,2024-06-02 07:00:00,7,2,129.48
0.0,2024-06-02 08:00:00,8,43,3148.0399999999995
0.0,2024-06-02 09:00:00,9,78,7505.330000000001
0.0,2024-06-02 10:00:00,10,143,14502.05
0.0,2024-06-02 11:00:00,11,90,9999.389999999996
0.0,2024-06-02 12:00:00,12,134,14508.069999999992
0.0,2024-06-02 13:00:00,13,141,16127.609999999993
0.0,2024-06-02 14:00:00,14,186,22015.78999999999
0.0,2024-06-02 15:00:00,15,161,18826.25
0.0,2024-06-02 16:00:00,16,149,17770.779999999995
0.0,2024-06-02 17:00:00,17,136,14887.88
0.0,2024-06-02 18:00:00,18,222,24216.18
0.0,2024-06-02 19:00:00,19,156,15470.029999999997
0.0,2024-06-02 20:00:00,20,168,16792.449999999997
0.0,2024-06-02 21:00:00,21,196,21100.429999999997
0.0,2024-06-02 22:00:00,22,113,11148.439999999999
0.0,2024-06-02 23:00:00,23,167,16937.19
0.0,2024-06-03 00:00:00,0,204,21147.68999999999
0.0,2024-06-03 01:00:00,1,4,139.33
0.0,2024-06-03 02:00:00,2,12,950.43
0.0,2024-06-03 03:00:00,3,1,29.240000000000002
0.0,2024-06-03 04:00:00,4,3,491.73
0.0,2024-06-03 05:00:00,5,1,14.27
0.0,2024-06-03 06:00:00,6,8,804.96
0.0,2024-06-03 07:00:00,7,50,5609.100000000002
0.0,2024-06-03 08:00:00,8,90,11196.650000000001
0.0,2024-06-03 09:00:00,9,142,17348.170000000002
0.0,2024-06-03 10:00:00,10,176,21883.879999999997
0.0,2024-06-03 11:00:00,11,144,16840.30999999999
0.0,2024-06-03 12:00:00,12,133,15593.800000000007
0.0,2024-06-03 13:00:00,13,120,13717.849999999995
0.0,2024-06-03 14:00:00,14,178,23234.080000000016
0.0,2024-06-03 15:00:00,15,121,15006.399999999996
0.0,2024-06-03 16:00:00,16,160,20362.440000000002
0.0,2024-06-03 17:00:00,17,153,19029.71000000001
0.0,2024-06-03 18:00:00,18,152,16125.559999999998
0.0,2024-06-03 19:00:00,19,142,13201.33
0.0,2024-06-03 20:00:00,20,148,15292.64
0.0,2024-06-03 21:00:00,21,165,15673.62
0.0,2024-06-03 22:00:00,22,158,14704.009999999998
0.0,2024-06-03 23:00:00,23,177,16339.5
0.0,2024-06-04 00:00:00,0,127,12477.639999999996
0.0,2024-06-04 01:00:00,1,7,524.27
0.0,2024-06-04 03:00:00,3,1,62.31
0.0,2024-06-04 05:00:00,5,3,286.47
